ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
152.58.143.157,307,0.0,6028.57003257329,108,-1,True,True
152.58.143.68,75,0.0,23367.773333333334,66,-1,True,False
152.58.153.220,37,0.02702702702702703,32646.37837837838,33,-1,True,True
152.58.158.160,921,0.0,9169.00651465798,210,-1,True,True
152.58.159.123,646,0.0,7162.4984520123835,118,-1,True,True
152.58.159.252,32,0.0,51849.03125,28,-1,True,False
152.58.170.253,362,0.0,5338.0110497237565,67,-1,True,True
152.58.176.158,251,0.0,11618.394422310757,93,-1,True,True
152.58.186.168,2,0.0,64309.0,2,-1,True,False
152.58.186.232,3,0.0,148206.33333333334,3,-1,True,False
152.58.187.5,20,0.0,55346.9,16,-1,True,False
152.58.189.2,15,0.0,55245.8,2,-1,True,False
152.58.247.55,30,0.0,44332.73333333333,25,-1,True,False
152.58.40.235,431,0.0,5923.7656612529,145,-1,True,True
152.58.46.166,686,0.0,10348.924198250728,202,-1,True,True
152.58.59.186,26,0.0,53321.03846153846,24,-1,True,False
152.58.96.90,9,0.2222222222222222,2225.222222222222,8,-1,True,True
152.59.109.171,26,0.0,52339.07692307692,23,-1,True,False
152.59.135.189,945,0.0,7157.543915343916,147,-1,True,True
152.59.142.185,336,0.0,11064.520833333334,119,-1,True,True
152.59.143.108,10,0.1,18931.2,6,-1,True,True
152.59.143.215,1128,0.0,7481.321808510638,218,-1,True,True
152.59.143.85,651,0.0,5259.950844854071,107,-1,True,True
152.59.145.110,143,0.0,14548.244755244756,88,-1,True,True
152.59.145.189,357,0.0,10201.420168067227,83,-1,True,True
152.59.145.202,663,0.0,8142.763197586727,119,-1,True,True
152.59.145.254,526,0.0,6122.222433460076,79,-1,True,True
152.59.146.3,30,0.0,43392.76666666667,28,-1,True,False
152.59.146.58,1364,0.0,6300.4112903225805,211,-1,True,True
152.59.169.177,2,0.0,60345.0,2,-1,True,False
152.59.171.246,184,0.0,14700.103260869566,116,-1,True,True
152.59.177.80,55,0.01818181818181818,19008.563636363637,50,-1,True,True
152.59.178.166,120,0.0,12944.775,109,-1,True,True
152.59.181.94,267,0.0,6864.483146067416,81,-1,True,True
152.59.182.64,362,0.0,3438.8701657458564,87,-1,True,True
152.59.194.200,36,0.0,110819.91666666667,12,-1,True,False
152.59.208.64,89,0.033707865168539325,20870.08988764045,27,-1,True,True
152.59.219.11,104,0.0,17639.596153846152,86,-1,True,False
152.59.64.230,89,0.0,19048.23595505618,83,-1,True,False
152.59.65.68,52,0.019230769230769232,26557.615384615383,42,-1,True,False
152.59.87.158,30,0.0,46000.4,27,-1,True,False
152.59.90.169,368,0.0,9880.796195652174,64,-1,True,True
157.34.76.19,57,0.05263157894736842,3041.0877192982457,49,-1,True,True
157.35.27.144,25,0.0,58656.96,23,-1,True,False
157.35.4.199,2,0.0,94408.0,2,-1,True,False
157.35.43.124,306,0.0,4634.803921568628,55,-1,True,True
157.35.43.223,1,0.0,103862.0,1,-1,True,False
157.35.43.235,187,0.0,15125.064171122995,69,-1,True,False
157.35.44.192,62,0.0,46347.41935483871,13,-1,True,False
157.35.44.73,1,0.0,94834.0,1,-1,True,False
157.35.61.133,551,0.0,8839.230490018148,180,-1,True,True
157.35.64.200,1996,0.4408817635270541,5536.452905811623,115,-1,True,True
157.35.71.92,307,0.0,10220.794788273615,142,-1,True,True
157.37.181.19,31,0.0,71375.41935483871,24,-1,True,False
157.42.196.40,572,0.0,5563.062937062937,86,-1,True,True
157.42.199.69,20,0.0,55218.4,19,-1,True,False
157.42.213.155,52,0.0,56190.846153846156,6,-1,True,False
157.42.215.254,78,0.0,21028.23076923077,75,-1,True,False
157.42.225.149,340,0.0,6310.60294117647,77,-1,True,True
157.42.233.222,1,1.0,341.0,1,-1,True,True
157.42.242.239,123,0.0,15338.943089430893,91,-1,True,True
157.42.7.14,1360,0.0,7417.65294117647,229,-1,True,True
157.42.7.71,608,0.0,4667.370065789473,87,-1,True,True
157.46.173.160,103,0.0,19645.203883495145,75,-1,True,False
157.48.217.166,131,0.0,14179.664122137405,103,-1,True,True
169.133.168.183,917,0.0,373.6019629225736,804,-1,True,True
169.38.126.166,430,0.0,404.3255813953488,4,-1,True,True
169.48.93.165,483,0.0,1346.3871635610767,8,-1,True,True
170.205.31.106,27,1.0,341.1111111111111,9,-1,True,True
170.205.31.108,9,1.0,341.1111111111111,9,-1,True,True
170.205.31.123,9,1.0,341.1111111111111,9,-1,True,True
170.205.31.134,10,1.0,341.5,2,-1,True,True
170.244.94.213,1,1.0,342.0,1,-1,True,True
171.50.225.222,389,0.0,8889.889460154242,79,-1,True,True
171.50.227.152,131,0.0,14760.519083969466,97,-1,True,True
171.79.114.16,288,0.0,8629.291666666666,74,-1,True,True
171.79.33.114,24,0.125,2397.0416666666665,14,-1,True,True
171.79.37.114,101,0.0297029702970297,11418.069306930693,42,-1,True,True
171.79.59.95,13,0.15384615384615385,2193.5384615384614,10,-1,True,True
182.65.200.140,659,0.0,6810.90440060698,98,-1,True,True
182.68.104.99,676,0.0,6238.961538461538,100,-1,True,True
182.72.100.186,1064,0.0,10238.126879699248,370,-1,True,True
183.82.33.14,1126,0.0008880994671403197,9133.32593250444,282,-1,True,True
183.83.148.143,324,0.0,6905.37037037037,78,-1,True,True
193.135.13.147,1,1.0,342.0,1,-1,True,True
202.164.136.46,545,0.0,6913.2165137614675,126,-1,True,True
203.115.97.42,2827,0.0,11618.704280155642,1327,-1,True,True
204.10.194.152,36,1.0,341.1111111111111,9,-1,True,True
206.232.0.168,1,1.0,342.0,1,-1,True,True
223.176.118.139,372,0.0,6514.4005376344085,90,-1,True,True
223.176.59.138,26,0.0,54594.230769230766,23,-1,True,False
223.178.121.197,212,0.0,19069.900943396227,105,-1,True,True
223.178.212.116,628,0.0,6132.858280254777,125,-1,True,True
223.178.80.199,113,0.0,27253.203539823007,61,-1,True,False
223.178.81.18,73,0.0,24517.164383561645,65,-1,True,False
223.180.177.129,317,0.0,10746.230283911673,109,-1,True,True
223.180.182.175,127,0.0,185889.1338582677,69,-1,True,False
223.180.185.187,28,0.0,57555.96428571428,14,-1,True,False
223.181.201.214,226,0.0,4186.9646017699115,89,-1,True,True
223.182.93.39,944,0.0,4968.376059322034,254,-1,True,True
223.184.165.212,11,0.09090909090909091,21043.18181818182,6,-1,True,True
223.185.61.247,422,0.0,6141.478672985782,84,-1,True,True
223.187.130.108,589,0.0,7379.41765704584,98,-1,True,True
223.187.153.89,626,0.0,6602.113418530352,111,-1,True,True
223.187.186.23,251,0.0,11226.482071713148,116,-1,True,True
223.189.253.63,127,0.0,16283.48031496063,72,-1,True,False
223.190.140.195,259,0.0,10121.517374517374,111,-1,True,True
223.190.140.219,348,0.0,6376.5,66,-1,True,True
223.190.184.136,442,0.0,13588.382352941177,97,-1,True,True
223.190.220.168,503,0.0,6632.660039761431,107,-1,True,True
223.226.166.132,981,0.0,6252.319062181447,179,-1,True,True
223.228.240.1,1,1.0,341.0,1,-1,True,True
223.228.240.139,13,0.0,224043.0,7,-1,True,False
223.230.154.221,19,0.10526315789473684,2508.684210526316,11,-1,True,True
223.231.236.45,331,0.0,8277.646525679758,82,-1,True,True
223.236.209.134,909,0.0,5907.909790979098,289,-1,True,True
223.237.131.32,65,0.0,44204.92307692308,33,-1,True,False
223.237.143.165,893,0.0,4031.057110862262,73,-1,True,True
223.237.16.90,10,0.2,4323.7,6,-1,True,True
27.60.131.55,25,0.0,52227.8,23,-1,True,False
27.60.194.17,311,0.0,5915.861736334406,85,-1,True,True
27.61.119.161,352,0.0,6568.880681818182,81,-1,True,True
34.212.20.99,9,0.6666666666666666,571.4444444444445,9,-1,True,True
35.95.130.177,13,0.7692307692307693,344.6923076923077,11,-1,True,True
4.227.36.31,1,1.0,341.0,1,-1,True,True
40.77.189.68,1,0.0,96292.0,1,-1,True,False
42.104.130.139,97,0.0,30945.453608247422,41,-1,True,False
42.104.221.200,383,0.0,5911.383812010444,112,-1,True,True
42.105.154.237,25,0.0,51619.12,23,-1,True,False
42.105.203.246,111,0.0,18524.252252252252,87,-1,True,True
42.105.96.70,52,0.0,39077.46153846154,48,-1,True,False
42.108.92.151,31,0.0,60699.32258064516,26,-1,True,False
43.224.3.177,572,0.0,5417.498251748252,181,-1,True,True
