ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
203.192.244.112,304,0.0,6365.496710526316,47,1,False,True
204.10.194.152,36,1.0,341.1111111111111,9,-1,True,True
206.232.0.168,1,1.0,342.0,1,-1,True,True
223.176.118.139,372,0.0,6514.4005376344085,90,-1,True,True
223.178.121.197,212,0.0,19069.900943396227,105,-1,True,True
223.178.212.116,628,0.0,6132.858280254777,125,-1,True,True
223.178.213.234,243,0.0,5767.308641975309,69,1,False,True
223.178.80.116,319,0.0,6420.7836990595615,60,1,False,True
223.180.177.129,317,0.0,10746.230283911673,109,-1,True,True
223.181.201.214,226,0.0,4186.9646017699115,89,-1,True,True
223.182.93.39,944,0.0,4968.376059322034,254,-1,True,True
223.184.164.32,25,0.08,6194.04,16,1,False,True
223.184.165.212,11,0.09090909090909091,21043.18181818182,6,-1,True,True
223.185.61.247,422,0.0,6141.478672985782,84,-1,True,True
223.185.62.75,218,0.0,8800.412844036697,71,1,False,True
223.187.130.108,589,0.0,7379.41765704584,98,-1,True,True
223.187.153.89,626,0.0,6602.113418530352,111,-1,True,True
223.187.186.23,251,0.0,11226.482071713148,116,-1,True,True
223.190.140.195,259,0.0,10121.517374517374,111,-1,True,True
223.190.140.219,348,0.0,6376.5,66,-1,True,True
223.190.184.136,442,0.0,13588.382352941177,97,-1,True,True
223.190.220.168,503,0.0,6632.660039761431,107,-1,True,True
223.226.166.132,981,0.0,6252.319062181447,179,-1,True,True
223.228.239.60,61,0.01639344262295082,2939.7049180327867,50,1,False,True
223.228.240.1,1,1.0,341.0,1,-1,True,True
223.230.152.114,277,0.0,6141.342960288809,68,1,False,True
223.230.154.221,19,0.10526315789473684,2508.684210526316,11,-1,True,True
223.230.156.73,293,0.0,7815.269624573379,67,1,False,True
223.231.236.45,331,0.0,8277.646525679758,82,-1,True,True
223.236.209.134,909,0.0,5907.909790979098,289,-1,True,True
223.237.143.165,893,0.0,4031.057110862262,73,-1,True,True
223.237.16.90,10,0.2,4323.7,6,-1,True,True
27.60.194.17,311,0.0,5915.861736334406,85,-1,True,True
27.61.119.161,352,0.0,6568.880681818182,81,-1,True,True
34.212.20.99,9,0.6666666666666666,571.4444444444445,9,-1,True,True
35.95.130.177,13,0.7692307692307693,344.6923076923077,11,-1,True,True
4.227.36.31,1,1.0,341.0,1,-1,True,True
42.104.221.200,383,0.0,5911.383812010444,112,-1,True,True
42.105.203.246,111,0.0,18524.252252252252,87,-1,True,True
42.108.239.86,63,0.031746031746031744,5617.571428571428,46,1,False,True
43.224.3.177,572,0.0,5417.498251748252,181,-1,True,True
45.117.205.66,412,0.0,5066.881067961165,143,-1,True,True
45.121.2.13,599,0.0,5416.572621035059,133,-1,True,True
45.121.2.86,599,0.0,5968.726210350585,124,-1,True,True
45.61.161.58,9,1.0,341.1111111111111,9,-1,True,True
46.232.112.145,1,1.0,342.0,1,-1,True,True
